ก
กฏัตตากรรม	Kañattākamma
ปัตติทานมัย	Pattidānamaya
ปัพพัชชา ดู บรรพชา.
ปัพพาชนียกรรม	Pabbājanīyakamma
ปัสสัทธิ 	Passaddhi
ปัสสาสะ	Passāsa
ปาจิตตีย์	Pācittiya
ปาฏิเทสนียะ	Pāñidesanīya
ปาฏิโมกข์, ปาติโมกข์	Pāñmokkha, Pātimokkha
“the Fundamental Precepts”; the fundamental  rules of the Order; the 227 disciplinary rules  binding on Bhikkhus; a collection of the  fundamental precepts of the Order recited every  fortnight; fortnightly recitation of the fundamental  precepts; Disciplinary Code.
ปาฏิโมกขสังวรศีล, ปาติโมกข~	Pāñimokkhasaṁvarasīla
ปาฏิหาริย์	Pāñihāriya
ปาณาติบาต	Pāṇātipāta
ปาพจน์	Pāvacana
ปาโมชช์ ดู ปราโมทย์.
ปาราชิก	Pārājika
ปาริสุทธิศีล	Pārisuddhisīla
ปิฎก	Piñaka
ปิดทอง	Suvaṇṇālepa
ปิตติวิสัย, เปตติวิสัย	Pittivisaya, Pettivisaya
ปิตุฆาต	Pitughāta
ปินโต	Bhattahārikā*
ปิยวาจา	Piyavācā
ปิสุณวาจา	Pisuṇavācā
ปีติ	Pīti
ปุคคลบัญญัติ	Puggalapaññatti
ปุคคลัญญุตา	Puggalaññutā
ปุคคลาธิษฐาน ดู บุคคลาธิษฐาน.
ปุจฉาวิสัชชนา	Pucchāvissajjanā
ปุถุชน	Puthujjana
ปุพพ- ดู บุพพ-.
ปุพเพกตปุญญตา	Pubbekatapuññatā
ปุพเพนิวาสานุสติญาณ	Pubbenivāsānussatiñāṇa
ปุริมพรรษา	Purimikā
ปูชนียบุคคล	Pūjanīyapuggala
ปูชนียวัตถุ	Pūjanīyavatthu*
ปูชนียสถาน	Pūjanīyaññhāna*
ปูชา ดู บูชา.
ปูรณมี	Puṇṇamī
เปตวัตถุ	Petavatthu
เปยยวัชชะ	Peyyavajja
เปรต	Peta
เปรียญ	Pariññū*, Pāliññū*
เปสุญวาท ดู ปิสุณวาจา.
ผ
ผรณาปีติ	Pharaṇāpīti
ผรุสวาจา	Pharusavācā
ผล	Phala
ผัสสะ	Phassa
ผ้ากราบ	Abhivādanacela*
ผาณิต	Phāṇita
ผ้าป่า	Paṁsukūla-cīvara, Assāmika-vattha
“Forest Robe”;	probably, ผ้าป่าช้า
ผ้าอาบ	Udakasāñikā
ผ้าอาบนํ้ าฝน	Vassikasāñikā
ผูกสีมา	Sīmāsammati
เผดียง	Nimanteti
เผยแผ่	Pakāsana, Vipulakaraṇa
แผ่เมตตา	Mettāya pharaṇā
แผ่ส่วนกุศล ดู ปัตติทาน, อุทิศกุศล.
โผฏฐัพพะ	Phoññhabba
ฝ
ฝังลูกนิมิต	Sīmānimittanidhāna
ฝาบาตร	Pattapidhāna
พ
พนมมือ	Añjaliṁ karoti
พยากรณ์	Vyākaraṇa
พยาธิ	Byādhi
พยาบาท	Byāpāda
พยายาม, ความ	Vāyāma
พร	Vara
พรต	Vata
พรมนํ้ ามนต์	Parittodaka-abbhukkiraṇa*; ~-  siñcana*
พรรษา	Vassa
พรหม	Brahma
พรหมจรรย์	Brahmacariya
พรหมจารี	Brahmacārī
พรหมทัณฑ์	Brahmadaṇóa
พรหมโลก	Brahmaloka
พรหมวิหาร	Brahmavihāra
พระ- ตัด “พระ” ออกแล้วดูในลำดับของคำนั้นๆ.
พระ	Bhikkhu, Pabbajita
พระครู	Garuññhāniyabhikkhu*
พระเครื่อง	Khuddakabuddhapañibimba*
พระธรรม	Dhamma
พระนอน	Sīhaseyyākappakabuddhapañimā*,  Sayānapañimā*
พระบรมศาสดา	Satthu
พระบูชา	Patiññhānabuddhapañimā*
พระประธาน	Padhānabuddhapañimā*
พระปรางค์	Thūpa
พระผู้มีพระภาค	Bhagavā
พระพุทธเจ้า	Buddha
พระพุทธบาท	Buddhapāda
พระพุทธปฏิมา	Buddhapañimā
พระพุทธรูป	Buddharūpa
พระพุทธศาสนา	Buddhasāsana
พระสงฆ์	Saṅgha
พระไสยาสน์ ดู พระนอน.
พราหมณ์	Brāhmaṇa
พละ	Bala
พลี	Bali
พหุลกรรม	Bahulakamma
พหูสูต	Bahussuta
พัดยศ	Cittavījanī, òhānantaravījanī
พัทธสีมา	Baddhasīmā
พับเพียบ	Aóóhapallaṅkanisajjā
พาล	Bāla
พาหุสัจจะ	Bāhusacca
พิธี	Vidhāna
พิธีกร	Vidhikara*
พิธีกรรม	Pūjāvidhi, Cārittaniyama*
พิธีหลวง ดู ราชพิธี.
พินทุ, พินทุกัป ดู กัปปพินทุ.
พีชนิยาม	Bījaniyāma
พุทธะ	Buddha
พุทธกาล	Buddhakāla
พุทธกิจ	Buddhakicca
พุทธคุณ	Buddhaguṇa
พุทธจริยา	Buddhacariyā
พุทธจักร	Buddhacakka
พุทธบริษัท	Buddhaparisā
พุทธบาท	Buddhapāda
พุทธปฏิมา ดู พระพุทธปฏิมา.
พุทธประวัติ	Buddhapavatti*
พุทธพจน์	Buddhavacana
พุทธภาษิต	Buddhabhāsita
พุทธมามกะ	Buddhamāmaka
พุทธรูป ดู พระพุทธรูป.
พุทธวงศ์	Buddhavaṁsa
พุทธศักราช	Buddhasaka*
พุทธศาสนา ดู พระพุทธศาสนา.
พุทธศาสนิกชน	Buddhamāmaka
พุทธันดร	Buddhantara
พุทธานุสติ	Buddhānussati
พุทธาวาส	Buddhāvāsa*
พุทธิจริต	Buddhicarita
เพล	Pacchimabhattakāla*
แพศย์	Vessa
โพชฌงค์	Bojjhaṅga
โพธิ์	ต้นไม้
โพธิญาณ	Bodhiñāṇa
โพธิปักขิยธรรม 	Bodhipakkhiya-dhamma
โพธิสัตว์, พระ	Bodhisatta
ฟ
ฟันเฟอน	muññhassati
ฟันเฟอน, ความ	sammosa
ฟุงซ่าน, ความ	uddhacca
ภ
ภควา ดู พระผู้มีพระภาค.
ภพ	Bhava
ภยาคติ	Bhayāgati
ภวตัณหา	Bhavataṇhā
ภวังค์	Bhavaṅga
ภังคะ	Bhaṅga
ภัณฑาคาริก	Bhaṇóāgārika
ภัณฑูกรรม	Bhaṇóūkamma
ภัต	Bhatta
ภัตกิจ	Bhattakicca
ภัตตุเทศก์	Bhattuddesaka
ภัย	Bhaya
ภาวะ	Bhāva
ภาวนา	Bhāvanā
ภาวนาปธาน	Bhāvanāpadhāna
ภาวนามยปัญญา	Bhāvanāmayapaññā
ภาวนามัย	Bhāvanāmaya
ภาเวตัพพธรรม	Bhāvetabbadhamma
ภาษิต	Bhāsita
ภิกขา	Bhikkhā
ภิกขาจาร	Bhikkhācāra
ภิกษุ	Bhikkhu
ภิกษุณี	Bhikkhunī
ภูต	Bhūta
ภูมิ	Bhūmi
เภสัช	Bhesajja
โภคะ	Bhoga
โภชนะ	Bhojana
โภชนียะ	Bhojanīya
โภชเนมัตตัญญุตา	Bhojanemattaññutā
ม
มงคล	Maṅgala
มณฑป	Maṇóapa
มทะ	Mada
มนต์, มนตร์	Manta
มนะ, มโน	Mana
มนสิการ	Manasikāra
มนุษย์	Manussa
มนุษยธรรม	Manussadhamma
มนุษยโลก	Manussaloka
มโนกรรม	Manokamma
มโนทวาร	Manodvāra
มโนทุจริต	Manoduccarita
มโนธาตุ	Manodhātu
มโนมยิทธิ	Manomayiddhi
มโนวิญญาณ	Manoviññāṇa
มโนวิญญาณธาตุ	Manoviññāṇadhātu
มโนสังขาร ดู จิตตสังขาร.
มโนสุจริต	Manosucarita
มมังการ	Mamaṅkāra
มรณะ	Maraṇa
มรณภาพ	Maraṇabhāva*
มรณสติ	Maraṇasati
มรรค	Magga
มรรคนายก	Magganāyaka*
มละ	Mala
มหา	Mahā*
มหาชาติ	Mahājātaka
มหาเถรสมาคม	Mahātherasamāgama*
มหานิกาย	Mahānikāya*
“Great Sect”; Greater Sub-Order	of the Thai  Monkhood
ยุต.
มหาบุรุษ	Mahāpurisa
มหาปุริสลักษณะ	Mahāpurisalakkhaṇa
มหาภิเนษกรมณ์	Mahābhinikkhamana
มหาภูตรูป	Mahābhūtarūpa
มหายาน	Mahāyāna
มักขะ	Makkha
มักน้อย, ความ ดู อัปปิจฉตา.
มัคคะ ดู มรรค.
มังสวิรัติ	Maṁsavirati*
มัจจุ	Maccu
มัจจุราช	Maccurāja
มัจฉริยะ	Macchariya
มัชชะ	Majja
มัชฌิมะ	Majjhima
มัชฌิมนิกาย	Majjhimanikāya
มัชฌิมประเทศ ดู มัธยมประเทศ.
มัชฌิมยาม	Majjhimayāma
มัชฌิมาปฏิปทา	Majjhimā pañipadā
มัตตัญญุตา	Mattaññutā
มัททวะ	Maddava
มัธยมประเทศ	Majjhimadesa
มาฆบูชา	Māghapūjā
มาตาปิตุอุปัฏฐาน	Mātāpituupaññhāna
มาติกา	Mātikā
มาตุคาม	Mātugāma
มาตุฆาต	Mātughāta
มานะ	Māna
มานัต	Mānatta
มายา	Māyā
มาร	Māra
มิจฉาทิฏฐิ	Micchādiññhi
มิตรปฏิรูปก์	Mittapañirūpaka
มิทธะ	Middha
มุขบาฐ; มุขปาฐะ	Mukhapāñha
มุทิตา	Muditā
มุทิตาจิต, การแสดง	Muditākamma*
มุสาวาท	Musāvāda
มูลกรรมฐาน	Mūla-kammaññhāna
มูลบัญญัติ	Paññatti, Mūlapaññatti
เมตตา	Mettā
เมถุนธรรม	Methunadhamma
เมรุ ดู จิตกาธาน.
เมาลี; โมลี	Moli
โมกขธรรม	Mokkhadhamma
โมกษะ	Mokkha
โมหะ	Moha
โมหจริต	Mohacarita
โมหาคติ	Mohāgati
ย
ยกช่อฟา, พิธี	Kaṇṇikāropana*
ยถาภูตญาณทัศนะ	Yathābhūtañāṇadassana
ยม	Yama
ยมก	Yamaka
ยมกปาฏิหาริย์	Yamakapāñihāriya
ยศ	Yasa
ยักษ์	Yakkha
ยัญ	Yañña
ย่าม	Thavikā
ยามา	Yāmā
เยภุยยสิกา	Yebhuyyasikā
โยคะ	Yoga
โยคาวจร	Yogāvacara
โยคี	Yogī
โยชน์	Yojana
โยนิ	Yoni
โยนิโสมนสิการ	Yonisomanasikāra
โยม	Posī
ร
รส	Rasa
ระเบียง [โบสถ์วิหาร]	Mañha, Samanta-paghaṇa
รัตนตรัย	Ratanattaya
รัตตัญญู	Rattaññū
ราคะ	Rāga
ราคจริต	Rāgacarita
ราชพลี	Rājabali
ราชพิธี	Rājavidhi*, Rājapūjāvidhi*
ราชาคณะ, พระ	Rājāgaṇayati, Cūḷasaṅgharājā*
ริษยา ดู อิสสา.
รูป	Rūpa
รูปฌาน	Rūpajhāna
รูปราคะ	Rūparāga
รูปโลก	Rūpaloka
รูปารมณ์	Rūpārammaṇa
รูปาวจรภูมิ	Rūpāvacarabhūmi
เรี่ยไร, การ	Samantayācanā*
เรือนแก้ว	ratanaghara*
ฤ
ฤทธิ์ ดู อิทธิ.
ฤษี	Isi
ล
ลอยกระทง	Puñaplāvana*
ลักษณะ	Lakkhaṇa
ลัทธิ	Laddhi
ลาภ	Lābha
ลาสิกขา	Sikkhaṁ paccakkhāti
ลูกนิมิต	Sīmā-nimitta, Nimitta
ลูขัปปมาณิกา	Lūkhappamāṇikā
โลก	Loka
โลกธรรม	Lokadhamma
โลกธาตุ	Lokadhātu
โลกบาล ดู จาตุมหาราช.
โลกวัชชะ	Lokavajja
โลกาธิปไตย	Lokādhipateyya
โลกิยะ	Lokiya
โลกุตตระ	Lokuttara
โลกุตตรธรรม	Lokuttaradhamma
โลกุตตรภูมิ	Lokuttarabhūmi
โลภะ	Lobha
โลหิตุปบาท	Lohituppāda
ว
วจีกรรม	Vacīkamma
วจีทวาร	Vacīdvāra
วจีทุจริต	Vacīduccarita
วจีวิญญัติ	Vacīviññatti
วจีสังขาร	Vacīsaṅkhāra
วจีสุจริต	Vacīsucarita
วรรค	Vagga
วรรณะ	Vaṇṇa
วัจจกุฎี	Vaccakuñī
วัฏฏะ	Vañña
วัณณะ ดู วรรณะ.
วัด	Vihāra, ârāma
วัดร้าง	Suññavihāra*
วัดราษฎร์	Gāmikavihāra*
วัดหลวง	Rājavaravihāra*, Rājāvāsa*
วัตถุกาม	Vatthukāma
วัตถุมงคล	Maṅgalavatthu*
วัตร	Vatta
วันโกน	Kesoropaṇadivasa*
วันเข้าพรรษา	Vassūpanāyikādivasa
วันปวารณา	Pavāraṇādivasa
วันพระ	Uposathadivasa
วันเพ็ญ	Puṇṇamīdivasa
วันออกพรรษา	Pavāraṇādivasa
วันอุโบสถ	Uposathadivasa
วัย	Vaya
วัสสูปนายิกา ดู วันเข้าพรรษา.
วาจา	Vācā
วาทะ	Vāda
วายามะ	Vāyāma
วาโยธาตุ	Vāyodhātu
วิกขัมภนวิมุตติ	Vikkhambhanavimutti
วิกัป	Vikappa
วิกาล	Vikāla
วิจัย	Vicaya
วิจาร	Vicāra
วิจิกิจฉา	Vicikicchā
วิชชา	Vijjā
วิญญัติ	Viññatti
วิญญาณ	Viññāṇa
วิญญาณัญจายตนะ	Viññāṇañcāyatana
วิญญูชน	Viññū
วิตก	Vitakka
วิตกจริต	Vitakkacarita
วิถีจิต	Vīthicitta
วินัย	Vinaya
วินัยธร	Vinayadhara
คณะวินัยธร.
วินัยปิฎก	Vinayapiñaka
วินิบาต	Vinipāta
วิบัติ	Vipatti
วิบาก	Vipāka
วิปฏิสาร	Vippañisāra
วิปริณาม	Vipariṇāma
วิปลาส	Vipallāsa
วิปัสสนา	Vipassanā
วิปัสสนากรรมฐาน ดู วิปัสสนาภาวนา.
วิปัสสนาธุระ	Vipassanādhura
วิปัสสนาภาวนา	Vipassanā-bhāvanā
วิปากจิต	Vipākacitta
วิภวตัณหา	Vibhavataṇhā
วิภังค์	Vibhaṅga
วิมังสา	Vīmaṁsā
วิมาน	Vimāna
วิมานวัตถุ	Vimānavatthu
วิมุตติ	Vimutti
วิมุตติสุข	Vimuttisukha
วิโมกข์	Vimokkha
วิรัติ	Virati
วิราคะ	Virāga
วิริยะ	Viriya; Vīriya
วิริยารัมภะ	Viriyārambha
วิวัฏฏ์	Vivañña
วิวาทาธิกรณ์	Vivādādhikaraṇa
วิเวก	Viveka
วิสังขาร ดู อสังขตธรรม.
วิสัชนา	Visajjanā
วิสัย	Visaya
วิสาขบูชา	Visākhapūjā
วิสุงคามสีมา	Visuṁgāmasīmā
วิสุทธิ	Visuddhi
วิหาร	Vihāra
วิหารคด	Mañha; Samantapaghaṇa
วิหิงสาวิตก	Vihiṁsāvitakka
เวจกุฎี ดู ถาน.
เวทนา	Vedanā
เวทนานุปัสสนา	Vedanānupassanā
เวไนย	Veneyya
เวยยาวัจจะ	Veyyāvacca
เวยยาวัจจมัย	Veyyāvaccamaya
เวร	Vera
เวสสะ ดู แพศย์.
เวสารัชชะ	Vesārajja
เวียนเทียน ดู ประทักษิณ.
ไวยาวัจกร	Veyyāvaccakara
ศ
ศรัทธา ดู สัทธา.
ศรัทธาไทย	Saddhādeyya
ศาลพระภูมิ	Bhummadevaññhāna*
ศาลา	Sālā
ศาลาการเปรียญ ดู การเปรียญ.
ศาสดา	Satthu
ศาสดา, พระบรม	Satthu
ศาสดาพยากรณ์	Anāgatavattu*
ศาสนสมบัติ	Sāsanasampatti*
ศาสนา1	Sāsana
ศาสนา2	Samaya, Diññhi, Pāsaṇóa
ศาสนาจารย์	Sāsanācariya
อนุศาสนาจารย์.
ศาสนิก	Sāsanika
ศิษย์วัด	ârāmika, Kappiyakāraka, Bhikkhusissa
ศีล	Sīla; Sikkhāpada
ศีลธรรม	Sīla; Sucarita; âcāra
ศีลาจารวัตร	Sīlācāravatta*
ศูทร	Sudda
โศก	Soka
ส
สกทาคามิผล	Sakadāgāmiphala
สกทาคามิมรรค	Sakadāgāmimagga
สกทาคามี, พระ	Sakadāgāmī
สกลมหาสังฆปริณายก	Sakalamahāsaṅghapariṇāyaka
พระสังฆราช	Saṅgharāja
สกวาที	Sakavādī
สงกรานต์	Mahāsaṅkanti
สงเคราะห์	Saṅgaha
สงฆ์	Saṅgha
สงสาร	Saṁsāra, Saṁsāracakka
สติ	Sati
สติปัฏฐาน	Satipaññhāna
สติวินัย	Sativinaya
สเตกิจฉา	Satekicchā
สถูป	Thūpa
สทารสันโดษ	Sadārasantosa
สนทนาธรรม ดู ธรรมสากัจฉา.
สบง	Antaravāsaka
สพรหมจารี	Sabrahmacārī
สภาวะ	Sabhāva
สภาวธรรม	Sabhāvadhamma
สมชีวิตา	Samajīvitā
สมณะ	Samaṇa
สมณธรรม	Samaṇadhamma
สมณพราหมณ์	Samaṇa-brāhmaṇa
สมณศักดิ์	Samaṇasatti*
สมณสัญญา	Samaṇasaññā
สมณสารูป	Samaṇasāruppa
สมณุเทศ	Samaṇuddesa
สมเด็จ	Upasaṅgharāja*
สมถะ	Samatha
สมถกัมมัฏฐาน, ~กรรมฐาน ดู สมถภาวนา.
สมถภาวนา	Samathabhāvanā
สมบัติ	Sampatti
สมภาร ดู เจ้าอาวาส.
สมโภช ดู ฉลอง.
สมมติ, สมมุติ	Sammati; Sammuti
สมมติสงฆ์, สมมุติสงฆ์	Sammatisaṅgha;  Sammutisaṅgha
สมมติสัจจะ, สมมุติสัจจะ	Sammatisacca;  Sammutisacca
สมาทาน	Samādāna
สมาธิ	Samādhi
สมานัตตตา	Samānattatā
สมาบัติ	Samāpatti
สมุจเฉทวิมุตติ	Samucchedavimutti
สมุฏฐาน	Samuññhāna
สมุทัย	Samudaya
สยัมภู, สยมภู	Sayambhū
สรงนํ้ า	Nhāyati
สรณะ	Saraṇa
สรณคมน์, สรณาคมน์	Saraṇagamana, ~ṇā gamana
สรภัญญะ	Sarabhañña
สรรเสริญ, ความ	Pasaṁsā
สรีระ	Sarīra
สลากภัต	Salākabhatta
สวดปาฏิโมกข์, การ	Pāñimokkhuddesa
สวดพระอภิธรรม	Abhidhammabhaṇana*
สวดมนต์, การ [ทั่ว ๆ ไป]	âyācanā
สวดมนต์, การ [ในพุทธศาสนา]	Sajjhāya, Uddesa, Padabhāṇa, ~gāyana, ~bhaṇana, Parittakaraṇa
สวรรค์	Sagga
สหธรรมิก	Sahadhammika
สฬายตนะ	Saḷāyatana
สอุปาทิเสสนิพพาน	Saupādisesa-nibbāna
สักกายทิฏฐิ	Sakkāyadiññhi
สักการะ	Sakkāra
สัคคะ ดู สวรรค์.
สังขตธรรม	Saṅkhatadhamma
สังขาร	Saṅkhāra
สังคณี ดู ธัมมสังคณี.
สังคหวัตถุ	Saṅgahavatthu
สังคายนา, สังคีติ	Saṅgīti
สังฆกรรม	Saṅghakamma
สังฆคุณ	Saṅghaguṇa
สังฆทาน	Saṅghadāna
สังฆนายก	Saṅghanāyaka*
สังฆเภท	Saṅghabheda
สังฆมณฑล	Saṅghamaṇóala
สังฆมนตรี Eccl. Minister. ดู คณะสังฆมนตรี.
สังฆราช, สมเด็จพระ	Saṅgharāja
สังฆสภา	Saṅghasabhā
สังฆาฏิ	Saṅghāñi
สังฆาทิเสส	Saṅghādisesa
สังฆาธิการ	Saṅghādhikāra*
สังฆานุสติ	Saṅghānussati
สังฆาวาส	Saṅghāvāsa*
สังยุตตนิกาย	Saṁyuttanikāya
สังโยชน์	Saṁyojana
สังวร	Saṁvara
สังวรปธาน	Saṁvarapadhāna
สังวาส	Saṁvāsa
สังเวคะ	Saṁvega
สังเวชนียสถาน	Saṁvejanīyaññhāna
สังสารวัฏ ดู สงสาร.
สังเสทชะ	Saṁsedaja
สัจจะ	Sacca
สัจจธรรม	Sacca
สัจฉิกาตัพพธรรม	Sacchikātabbadhamma
สัญญมะ	Saññama, Saṁyama
สัญญา	Saññā
สัญญาบัตร	Saññāpañña*
สัญโญชน์ ดู สังโยชน์.
สัตตาวาส	Sattāvāsa
สัตตาหกรณียะ	Sattāhakaraṇīya
สัตบุรุษ	Sappurisa
สัตว์	Satta
สัททารมณ์	Saddārammaṇa
สัทธรรม	Saddhamma
สัทธรรมปฏิรูปก์	Saddhammapañirūpaka
สัทธา	Saddhā
สัทธาจริต	Saddhācarita
สัทธาสัมปทา	Saddhāsampadā
สัทธิวิหาริก	Saddhivihārika
สันดาน ดู สันตานะ.
สันโดษ	Santuññhi, Santosa
สันตติ	Santati
สันตานะ	Santāna
สันติ	Santi
สันตุฏฐี ดู สันโดษ.
สัปปายะ	Sappāya
สัปปิ	Sappi
สัปปุริส ดู สัตบุรุษ.
สัปปุริสธรรม	Sappurisadhamma
สัพพัญญุตญาณ	Sabbaññutañāṇa
สัพพัญญู	Sabbaññū
สัมปชัญญะ	Sampajañña
สัมปทา	Sampadā
สัมปรายะ	Samparāya
สัมปรายภพ	Samparāya
สัมปรายิกัตถะ	Samparāyikattha
สัมผัปปลาปะ	Samphappalāpa
สัมผัส ดู ผัสสะ.
สัมพุทธะ	Sambuddha
สัมภเวสี	Sambhavesī
สัมมัปปธาน	Sammappadhāna
สัมมากัมมันตะ	Sammākammanta
สัมมาทิฏฐิ	Sammādiññhi
สัมมาวาจา	Sammāvācā
สัมมาวายามะ	Sammāvāyāma
สัมมาสังกัปปะ	Sammāsaṅkappa
สัมมาสติ	Sammāsati
สัมมาสมาธิ	Sammāsamādhi
สัมมาสัมพุทธะ	Sammāsambuddha
สัมมาอาชีวะ	Sammāājīva
สัมมุขาวินัย	Sammukhāvinaya
สัสสตทิฏฐิ	Sassatadiññhi
สากัจฉา	Sākacchā
สาชีพ	Sājīva
สาเฐยยะ, สาไถย	Sāñheyya
สาธยาย ดู สวดมนต์ [ในพุทธศาสนา].
สามเณร	Sāmaṇera
สามเณรี	Sāmaṇerī
สามัคคี	Sāmaggī
สามัญลักษณะ	Sāmaññalakkhaṇa
สามีจิกรรม	Sāmīcikamma
สายสิญจน์	Parittasutta*
สารัมภะ	Sārambha
สาราณียธรรม	Sārāṇīyadhamma
สารีริกธาตุ ดู ธาตุ.
สาวก	Sāvaka
สำนักสงฆ์	Saṅghanivāsa*, Saṅghaniketa*
สำรวม	Saṁvara
สิกขมานา	Sikkhamānā
สิกขา	Sikkhā
สิกขาบท	Sikkhāpada
สีมา	Sīmā
สีล	Sīla
สีลมัย	Sīlamaya
สีลวิสุทธิ	Sīlavisuddhi
สีลสัมปทา	Sīlasampadā
สีลสามัญญตา	Sīlasāmaññatā
สีลสิกขา ดู อธิศีลสิกขา.
สีลัพพตปรามาส	Sīlabbataparāmāsa
สีลัพพตุปาทาน	Sīlabbatupādāna
สีลานุสติ	Silānussati
สีหไสยา	Sīhaseyyā
สึก	Uppabbajati, Vibbhamati
สุกขวิปัสสก	Sukkhavipassaka
สุข	Sukha
สุคต	Sugata
สุคติ	Sugati
สุจริต	Sucarita
สุตะ	Suta
สุตตนิบาต	Suttanipāta
“Woven Cadences of Early Buddhists”; name  of the fifth division of the Khuddaka Nikāya.
สุตตันตปิฎก	Suttantapiñaka
สุตมยปัญญา	Sutamayapaññā
สุททะ ดู ศูทร.
สุทธาวาส	Suddhāvāsa
สุภาษิต	Subhāsita
สุราเมรยมัชชปมาทัฏฐาน	Surāmerayamajjapamādaññhāna
สุริยคติ	Suriyagati*
สูตร	Sutta; Suttanta
สูตร, พระ	Sutta; Suttapiñaka
เสขะ, พระ	Sekha; Sekkha
เสขิยวัตร	Sekhiyadhamma; Sekhiyavatta
เสนาสนะ	Senāsana
โสกะ ดู โศก.
โสดาบัน	Sotāpanna
โสดาปัตติผล	Sotāpattiphala
โสดาปัตติมรรค	Sotāpattimagga
โสตทวาร	Sotadvāra
โสตวิญญาณ	Sotaviññāṇa
โสมนัส	Somanassa
โสรัจจะ	Soracca
โสวจัสสตา	Sovacassatā
โสฬส	Soḷasa
ไสยา	Seyyā
ห
หงสบาท	Haṁsapāda
หนังสือสุทธิ	Suddhipañña*
หน้าตัก	Pallaṅkappamāṇa
หน้าบัน	Gahasikhara
หอฉัน	Bhattagga
หอไตร	Tipiñakālaya*; Potthakāgāra*; Ganthālaya*
หอระฆัง	Gaṇóighara
หอสวดมนต์	Sajjhāyanasālā*
หทัยวัตถุ	Hadayavatthu
หลุดพ้น, ความ ดู วิมุตติ.
หสิตุปปาทจิต	Hasituppādacitta
หัตถบาส	Hatthapāsa
หิริ	Hiri
หีนยาน	Hīnayāna
เหตุ	Hetu
ไหว้	Vandana, Namassana
อ
อกตัญญู	Akataññū
อกรณียกิจ	Akaraṇīyakicca
อกาลมรณะ	Akālamaraṇa
อกิริยทิฏฐิ	Akiriyadiññhi
อกิริยวาท ก็ว่า.
อกุศล	Akusala
อกุศลกรรม	Akusalakamma
อกุศลกรรมบถ	Akusalakammapatha
อกุศลจิต	Akusalacitta
อกุศลมูล	Akusalamūla
อกุศลวิตก	Akusalavitakka
อคติ	Agati
อโคจร	Agocara
องค์	Aṅga
องค์การปกครอง	Saṅghapālanādhikāra*
องค์การเผยแผ่	Dhammapakāsanādhikāra*
องค์การศึกษา	Sāsanasikkhādhikāra*
องค์การสาธารณูปการ	Sādhāraṇakārādhikāra*
อจินไตย	Acinteyya
อดิเรกจีวร	Atirekacīvara
อดิเรกลาภ	Atirekalābha
อติถิพลี	Atithibali
อติมานะ	Atimāna
อเตกิจฉา	Atekicchā
อทินนาทาน	Adinnādāna
อทุกขมสุข	Adukkhamasukha
อโทสะ	Adosa
อธรรม	Adhamma
อธิกมาส	Adhikamāsa
อธิกรณ์	Adhikaraṇa
อธิกรณสมถะ	Adhikaraṇasamatha
อธิกวาร	Adhikavāra
อธิกสุรทิน	Adhikasuradina*
อธิจิตตสิกขา	Adhicittasikkhā
อธิปไตย	Adhipateyya
อธิปัญญาสิกขา	Adhipaññāsikkhā
อธิโมกข์	Adhimokkha
อธิศีลสิกขา	Adhisīlasikkhā
อธิษฐาน	Adhiññhāna
อนภิชฌา	Anabhijjhā
อนัตตตา	Anattatā
อนัตตา	Anattā
อนาคามิผล	Anāgāmiphala
อนาคามิมรรค	Anāgāmimagga
อนาคามี, พระ	Anāgāmī
อนาคาริก	Anāgārika
อนิจ	Anicca
อนิจจตา	Aniccatā
อนิฏฐารมณ์	Aniññhārammaṇa
อนิยต	Aniyata
อนุจร	Anucara
อนุฎีกา	Anuñīkā
อนุบัญญัติ	Anupaññatti
อนุปสัมบัน	Anupasampanna
อนุปาทินนก	Anupādinnaka
อนุปาทิเสสนิพพาน	Anupādisesa-nibbāna
อนุปุพพิกถา	Anupubbikathā
อนุพยัญชนะ	Anubyañjana
อนุโมทนา	Anumodanā
อนุรักขนาปธาน	Anurakkhanāpadhāna
อนุโลม	Anuloma
อนุวาทาธิกรณ์	Anuvādādhikaraṇa
อนุศาสน์	Anusāsana
อนุศาสนาจารย์	Anusāsanācariya
อนุสติ	Anussati
อนุสัย	Anusaya
อนุสาวนา	Anusāvanā
อนุสาวนาจารย์	Anusāvanācariya
อนุสาสนีปาฏิหาริย์	Anusāsanīpāñihāriya
อเนสนา	Anesanā
อบาย	Apāya
อบายภูมิ	Apāyabhūmi
อบายมุข	Apāyamukha
อปจายนะ	Apacāyana
อปจายนมัย	Apacāyanamaya
อปทาน	Apadāna
อปราปริยเวทนียกรรม	Aparāpariyavedanīyakamma
อปโลกน์	Apalokana
อปโลกนกรรม	Apalokanakamma
อพยาบาท	Abyāpāda
อภิชฌา	Abhijjhā
อภิญญา	Abhiññā
อภิธรรม	Abhidhamma
อภิธรรมปิฎก	Abhidhammapiñaka
อภิเนษกรมณ์ ดู มหาภิเนษกรมณ์.
อภิสมัย	Abhisamaya
อภิสมาจาร	Abhisamācāra
อภิสัมโพธิ	Abhisambodhi
อมตะ	Amata
อมูฬหวินัย	Amūḷhavinaya
อโมหะ	Amoha
อโยนิโสมนสิการ	Ayonisomanasikāra
อรรคสาวก ดู อัครสาวก.
อรรถ ดู อัตถะ.
อรรถกถา	Aññhakathā
อรหัตตผล	Arahattaphala
