นิวยอร์ก	new-yɔ̂ɔk
ติดอยู่ในใจ	tìt-yùu-nay-cay
ติดยาเสพติด	tìt-yaa-sèep-tìt
ติดยาเสพย์ติด	tìt-yaa-sèep-tìt
ติดยา	tìt-yaa
ติดตัว	tìt-tua
ติดต่อสื่อสาร	tìt-tɔ̀ɔ-sʉ̀ʉ-sǎan
ติดต่อสอบถาม	tìt-tɔ̀ɔ-sɔ̀ɔp-thǎam
ติดต่อกัน	tìt-tɔ̀ɔ-kan
ติดต่อ	tìt-tɔ̀ɔ
ติดตื้น	tìt-tʉ̂ʉn
ติดๆ ขัดๆ	tìt-tìt-khàt-khàt
ติดๆ	tìt-tìt
ติดธุระ	tìt-thú-rá
ติดธง	tìt-thong
ติดตะราง	tìt-tà-raang
ติดตั้ง	tìt-tâng
ติดตลก	tìt-ta-lòk
ติดตลาด	tìt-ta-làat
ติดตะกร้อ	tìt-tà-krɔ̂ɔ
ติดตามผลงาน	tìt-taam-phǒn-ngaan
ติดตาม	tìt-taam
ติดตา	tìt-taa
ติดสุรา	tìt-sù-raa
ติดสอยห้อยตาม	tìt-sɔ̌ɔy-hɔ̂y-taam
ติดสินบน	tìt-sǐn-bon
ติดสัด	tìt-sàt
ติดสำนวน	tìt-sǎm-nuan
ติดโรค	tìt-rôok
ติดแร้ว	tìt-rɛ́ɛw
ติดราชการ	tìt-râat-cha-kaan
ติดร่างแห	tìt-râang-hɛ̌ɛ
ติดประกาศ	tìt-prà-kàat
ติดปีก	tìt-pìik
ติดผม	tìt-phǒm
ติดพัน	tìt-phan
ติดเป็นนิสัย	tìt-pen-ní-sǎy
ติดป้าย	tìt-pâay
ติดปาก	tìt-pàak
ติดอกติดใจ	tìt-òk-tìt-cay
ติดนิสัย	tìt-ní-sǎy
ติดหนี้ติดสิน	tìt-nîi-tìt-sǐn
ติดหนี้	tìt-nîi
ติดงอมแงม	tìt-ngɔɔ-ma-ngɛɛm
ติดเงิน	tìt-ngən
ติดงาน	tìt-ngaan
ติดหมัด	tìt-màt
ติดมือ	tìt-mʉʉ
ติดลบ	tìt-lóp
ติดลมบน	tìt-lom-bon
ติดลม	tìt-lom
ติดเหล้า	tìt-lâw
ติดกระดุม	tìt-krà-dum
ติดคุก	tìt-khúk
ติดเครื่อง	tìt-khrʉ̂ang
ติดขอ	tìt-khɔ̌ɔ
ติดคอ	tìt-khɔɔ
ติดขัด	tìt-khàt
ติดค้าง	tìt-kháang
ติดเก้ง	tìt-kêeng
ติดกับดัก	tìt-kàp-dàk
ติดกับ	tìt-kàp
ติดกัณฑ์เทศน์	tìt-kan-thêet
ติดกัน	tìt-kan
ติติง	tì-ting
ติเตียน	tì-tian
ติดหูติดตา	tìt-hǔu-tìt-taa
ติดแห้ง	tìt-hɛ̂ɛng
ติดฝน	tìt-fǒn
ติดฝิ่น	tìt-fìn
ติดไฟ	tìt-fay
ติดแอร์	tìt-ɛɛ
ติดเชื้อ	tìt-chʉ́a
ติดแจ	tìt-cɛɛ
ติดใจ	tìt-cay
ติดจะ	tìt-cà
ติดบุหรี่	tìt-bù-rìi
ติดบวก	tìt-bùak
ติดบอร์ด	tìt-bɔ̀ɔt
ติดบ่อน	tìt-bɔ̀n
ติดอันดับ	tìt-an-dàp
ติดอาวุธ	tìt-aa-wút
ติด	tìt
ติรัจฉาน	tì-rát-chǎan
ติปาถะ	tì-paa-thà
ติณชาติ	tin-na-châat
ติงต๊อง	ting-tɔ́ng
ติ๋ง	tǐng
ติ่ง	tìng
ติง	ting
ตีวง	tii-wong
ตีอวน	tii-uan
ตีตั๋วยืน	tii-tǔa-yʉʉn
ตีตัวออกห่าง	tii-tua-ɔ̀ɔk-hàang
ตีตั๋วเด็ก	tii-tǔa-dèk
ตีตั๋ว	tii-tǔa
ตีตรวน	tii-truan
ตีตรา	tii-traa
ตีโต้	tii-tôo
ตีตนออกห่าง	tii-ton-ɔ̀ɔk-hàang
ตีตื้น	tii-tʉ̂ʉn
ตีทอง	tii-thɔɔng
ตีทะเบียน	tii-thá-bian
ตีท้ายครัว	tii-tháay-khrua
ตีแตะ	tii-tɛ̀
ตีตลาด	tii-ta-làat
ตีนตะขาบ	tii-tà-khàap
ตีสองหน้า	tii-sɔ̌ɔng-nâa
ตีสอง	tii-sɔ̌ɔng
ตีซี้	tii-síi
ตีเสียว่า	tii-sǐa-wâa
ตีเสียง	tii-sǐang
ตีเส้น	tii-sên
ตีสนิท	tii-sa-nìt
ตีสำนวน	tii-sǎm-nuan
ตีเสมอ	tii-sa-mə̌ə
ตีสาย	tii-sǎay
ตีสาม	tii-sǎam
ตีรั้ง	tii-ráng
ตีรันฟันแทง	tii-ran-fan-thɛɛng
ตีราคา	tii-raa-khaa
ตีบตัน	tìip-tan
ตีแปลง	tii-plɛɛng
ตีบแคบ	tìip-khɛ̂ɛp
ตีปีก	tii-pìik
ตีโพยตีพาย	tii-phooy-tii-phaay
ตีผึ้ง	tii-phʉ̂ng
ตีพิมพ์	tii-phim
ตีแผ่	tii-phɛ̀ɛ
ตีป่า	tii-pàa
ตีบ	tìip
ตีนเหยียด	tiin-yìat
ตีนถีบปากกัด	tiin-thìip-pàak-kàt
ตีนท่า	tiin-thâa
ตีนโรงตีนศาล	tiin-roong-tiin-sǎan
ตีนเปล่า	tiin-plàaw
ตีนผม	tiin-phǒm
ตีนผี	tiin-phǐi
ตีหนึ่ง	tii-nʉ̀ng
ตีนกบ	tiin-kòp
ตีนคู้	tiin-khúu
ตีนเขา	tiin-khǎw
ตีนกา	tiin-kaa
ตีนจก	tiin-còk
ตีนบันได	tiin-ban-day
ตีหน้ายักษ์	tii-nâa-yák
ตีหน้าตาย	tii-nâa-taay
ตีหน้าเซ่อ	tii-nâa-sə̂ə
ตีหน้า	tii-nâa
ตีน	tiin
ตีมอง	tii-mɔɔng
ตีเมือง	tii-mʉang
ตีลูกเซ่อ	tii-lûuk-sə̂ə
ตีลังกา	tii-lang-kaa
ตีกรับ	tii-kràp
ตีกระหนาบ	tii-krà-nàap
ตีเกลียว	tii-kliaw
ตีเกล็ด	tii-klèt
ตีกลับ	tii-klàp
ตีกิน	tii-kin
ตีความหมาย	tii-khwaam-mǎay
ตีความ	tii-khwaam
ตีคู่	tii-khûu
ตีโค้ง	tii-khóong
ตีคอ	tii-khɔɔ
ตีขลุม	tii-khlǔm
ตีเข่า	tii-khàw
ตีขนาบ	tii-kha-nàap
ตีค่า	tii-khâa
ตีไก่	tii-kày
ตีกรรเชียง	tii-kan-chiang
ตีห่าง	tii-hàang
ตีห้า	tii-hâa
ตีฝีปาก	tii-fǐi-pàak
ตีฝ่า	tii-fàa
ตีชิงวิ่งราว	tii-ching-wîng-raaw
ตีฉิ่ง	tii-chìng
ตีชิง	tii-ching
ตีจาก	tii-càak
ตีบทแตก	tii-bòt-tɛ̀ɛk
ตีบรรทัด	tii-ban-thát
ตี๋	tǐi
ตี่	tìi
ตี	tii
ติชม	tì-chom
ติฉินนินทา	tì-chǐn-nin-thaa
เตี่ยว	tìaw
เตียบ	tìap
เตียนโล่ง	tian-lôong
เตียงสปริง	tiang-sa-pring
เตียงสนาม	tiang-sa-nǎam
เตียงผ้าใบ	tiang-phâa-bay
เตียงนอน	tiang-nɔɔn
เตียงลา	tiang-laa
เตียงคู่	tiang-khûu
เตียงคนไข้	tiang-khon-khây
เตียงเดี่ยว	tiang-dìaw
เตียง	tiang
เตียน	tian
เตี้ย	tîa
เตี่ย	tìa
ติ	tì
ถือยศถือศักดิ์	thʉ̌ʉ-yót-thʉ̌ʉ-sàk
ถือยศ	thʉ̌ʉ-yót
ถือวิสาสะ	thʉ̌ʉ-wí-sǎa-sà
ถือว่า	thʉ̌ʉ-wâa
ถุยน้ำลาย	thǔy-náam-laay
ถุย	thǔy
ทุ้ย	thúy
ทุย	thuy
ธุวภาค	thú-wa-phâak
ธุวมณฑล	thú-wa-mon-thon
ทูตสวรรค์	thûut-sa-wǎn
ทูตสันถวไมตรี	thûut-sǎn-tha-wa-may-trii
ถูไถ	thǔu-thǎy
ทูตานุทูต	thuu-taa-nú-thûut
ทูต	thûut
ทู่ซี้	thûu-síi
ธูปฤาษี	thûup-rʉʉ-sǐi
ธูปแพเทียนแพ	thûup-phɛɛ-thian-phɛɛ
ธูปไม้ระกำ	thûup-máay-rá-kam
ธูปบาตร	thûup-bàat
ธูป	thûup
ทูบ	thûup
ทูลถาม	thuun-thǎam
ทูลเกล้าทูลกระหม่อมถวาย	thuun-klâaw-thuun-krà-mɔ̀m-thà-wǎay
ทูลเกล้าฯ ถวาย	thuun-klâaw-tha-wǎay
ทูนหัว	thuun-hǔa
ทูน	thuun
ทูล	thuun
ทูมทาม	thuum-thaam
ถูลู่ถูกัง	thǔu-lûu-thǔu-kang
ทูเลียม	thuu-lîam
ถูกวิธี	thùuk-wí-thii
ถูกตราหน้า	thùuk-traa-nâa
ถูกต้อน	thùuk-tɔ̂ɔn
ถูกต้องตามกฎหมาย	thùuk-tɔ̂ng-taam-kòt-mǎay
ถูกต้อง	thùuk-tɔ̂ng
ถูกๆ	thùuk-thùuk
ถูกที่	thùuk-thîi
ถูกตา	thùuk-taa
ถูกส่วน	thùuk-sùan
ถูกเส้น	thùuk-sên
ถูกโรค	thùuk-rôok
ถูกปรับ	thùuk-pràp
ถูกปาก	thùuk-pàak
ถูกอกถูกใจ	thùuk-òk-thùuk-cay
ถูกเนื้อต้องตัว	thùuk-nʉ́a-tɔ̂ng-tua
ถูกกระทำ	thùuk-krà-tham
ถูกกฎหมาย	thùuk-kòt-mǎay
ถูกคู่	thùuk-khûu
ถูกคอกัน	thùuk-khɔɔ-kan
ถูกคอ	thùuk-khɔɔ
ถูกขา	thùuk-khǎa
ถูกกัน	thùuk-kan
ถูกหวย	thùuk-hǔay
ถูกจุด	thùuk-cùt
ถูกช่อง	thùuk-chɔ̂ng
ถูกชะตา	thùuk-chá-taa
ถูกโฉลก	thùuk-cha-lòok
ถูกใจ	thùuk-cay
ถูกจำ	thùuk-cam
ถูก	thùuk
ถูฟัน	thǔu-fan
ถู	thǔu
ทู่	thûu
ทู้	thúu
ทุติยภูมิ	thú-tì-ya-phuum
ทุทรรศนนิยม	thú-thát-sa-na-ní-yom
ทุจริต	thút-ca-rìt
ธุช	thút
ทุรนทุราย	thú-ron-thú-raay
ทุเรียน	thú-rian
ทุเรศทุรัง	thú-rêet-thú-rang
ทุเรศ	thú-rêet
ทุรพล	thú-ra-phon
ทุรลักษณ์	thú-ra-lák
ธุรกิจท่องเที่ยว	thú-ra-kìt-thɔ̂ng-thîaw
ธุรกิจขนาดย่อม	thú-ra-kìt-kha-nàat-yɔ̂m
ธุรกิจขนาดใหญ่	thú-ra-kìt-kha-nàat-yày
ธุรกิจขนาดเล็ก	thú-ra-kìt-kha-nàat-lék
ธุรกิจขนาดกลาง	thú-ra-kìt-kha-nàat-klaang
ธุรกิจค้าส่ง	thú-ra-kìt-kháa-sòng
ธุรกิจ	thú-ra-kìt
ทุรกันดาร	thú-ra-kan-daan
ธุรกรรม	thú-ra-kam
ทุรกรรม	thú-ra-kam
ธุรการ	thú-ra-kaan
ทุรชน	thú-ra-chon
ทุรชาติ	thú-ra-châat
ทุราคม	thú-raa-khom
ทุราจาร	thú-raa-caan
ธุระ	thú-rá
ทุบตี	thúp-tii
ทุพพลภาพ	thúp-phon-la-phâap
ทุพภิกขภัย	thúp-phík-kha-phay
ทุพภิกขันดรกัป	thúp-phík-khǎn-da-ra-kàp
ทุโภชนาการ	thú-phôot-cha-naa-kaan
ทุบ	thúp
ทุนวิจัย	thun-wí-cay
ทุ่นเวลา	thûn-wee-laa
ทุ่นอวน	thûn-uan
ทุนส่วนตัว	thun-sùan-tua
ทุนสำรองเงินตรา	thun-sǎm-rɔɔng-ngən-traa
ทุนสำรอง	thun-sǎm-rɔɔng
ทุนรอน	thun-rɔɔn
ทุ่นแรง	thûn-rɛɛng
ทุนรัฐบาล	thun-rát-tha-baan
ทุนเรือนหุ้น	thun-rʉan-hûn
ทุ่นระเบิด	thûn-rá-bə̀ət
ทุนนอน	thun-nɔɔn
ทุนนิยม	thun-ní-yom
ทุ่นเงิน	thûn-ngən
ทุนทรัพย์	thun-na-sáp
ทุนหมุนเวียน	thun-mǔn-wian
ทุ่นลอย	thûn-lɔɔy
ทุนเล่าเรียนหลวง	thun-lâw-rian-lǔang
ทุนเล่าเรียน	thun-lâw-rian
ทุนการศึกษา	thun-kaan-sʉ̀k-sǎa
ทุนิยม	thú-ní-yom
ถุงยางอนามัย	thǔng-yaang-a-naa-may
ถุงยาง	thǔng-yaang
ถุงย่าม	thǔng-yâam
ทุ่งหญ้า	thûng-yâa
ทุงเทง	thung-theeng
ถุงทะเล	thǔng-thá-lee
ถุงเท้า	thǔng-tháaw
ถุงตะเครียว	thǔng-tà-khriaw
ถุงสำเร็จ	thǔng-sǎm-rèt
ถุงพลาสติก	thǔng-phláat-sa-tìk
ถุงนอน	thǔng-nɔɔn
ถุงน่อง	thǔng-nɔ̂ng
ถุงเงินถุงทอง	thǔng-ngən-thǔng-thɔɔng
ถุงเงิน	thǔng-ngən
ถุงน้ำดี	thǔng-náam-dii
ทุ่งนา	thûng-naa
ถุงมือ	thǔng-mʉʉ
ทุ่งโล่ง	thûng-lôong
ถุงลมนิรภัย	thǔng-lom-ní-ra-phay
ถุงลม	thǔng-lom
ทุ่งเลี้ยงสัตว์	thûng-líang-sàt
ถุงกระดาษ	thǔng-krà-dàat
ถุงก๊อบแก๊บ	thǔng-kɔ́p-kɛ́p
ถุงเค้า	thǔng-kháw
ถุง	thǔng
ทุ่ง	thûng
ทุ้ง	thúng
ทุนเดิม	thun-dəəm
ทุนจดทะเบียน	thun-còt-thá-bian
ทุ่นเบ็ด	thûn-bèt
ถุน	thǔn
ทุ่น	thûn
ทุน	thun
ทุ่มทุน	thûm-thun
ทุ่มเถียง	thûm-thǐang
ทุ่มเท	thûm-thee
ทุ่มตลาด	thûm-ta-làat
ธุมเพลิง	thum-phləəng
ทุ่มเงิน	thûm-ngən
ทุ่มน้ำหนัก	thûm-náam-nàk
ธุมเกตุ	thú-ma-kèet
ทุ่ม	thûm
ทุ้ม	thúm
ธุลี	thú-lii
ทุเลา	thú-law
ทุกหย่อมหญ้า	thúk-yɔ̀m-yâa
ทุกอย่าง	thúk-yàang
ทุกข์ยาก	thúk-yâak
ทุกวี่ทุกวัน	thúk-wîi-thúk-wan
ทุกเวลา	thúk-wee-laa
ทุกวันนี้	thúk-wan-níi
ทุกวัน	thúk-wan
ทุกๆ	thúk-thúk
ทุกข์ทรมาน	thúk-thɔɔ-ra-maan
ทุกทิศทาง	thúk-thít-thaang
ทุกที่	thúk-thîi
ทุกที	thúk-thii
ทุกท่าน	thúk-thân
ทุกข์สุข	thúk-sùk
ทุกซอกทุกมุม	thúk-sɔ̂ɔk-thúk-mum
ทุกสิ่งทุกอย่าง	thúk-sìng-thúk-yàang
ทุกสิ่ง	thúk-sìng
ทุกข์ร้อน	thúk-rɔ́ɔn
ทุกข์ระทม	thúk-rá-thom
ทุกราย	thúk-raay
ทุกปี	thúk-pii
ทุกผู้ทุกนาม	thúk-phûu-thúk-naam
ทุกพาย	thúk-phaay
ทุกนิบาต	thúk-ní-bàat
ทุกแง่ทุกมุม	thúk-ngɛ̂ɛ-thúk-mum
ทุกเมื่อเชื่อวัน	thúk-mʉ̂a-chʉ̂a-wan
ทุกเมื่อ	thúk-mʉ̂a
ทุกครั้งที่	thúk-khráng-thîi
ทุกครั้ง	thúk-khráng
ทุกคราว	thúk-khraaw
ทุกคน	thúk-khon
ทุกคืน	thúk-khʉʉn
ทุกข์เข็ญ	thúk-khěn
ทุกขเวทนา	thúk-kha-wee-tha-naa
ทุกขสมุทัย	thúk-kha-sa-mù-thay
ทุกขนิโรธ	thúk-kha-ní-rôot
ทุกขณะ	thúk-khà-nà
ทุกขลาภ	thúk-kha-lâap
ทุกขารมณ์	thúk-khǎa-rom
ทุกหัวระแหง	thúk-hǔa-rá-hɛ̌ɛng
ทุกหนทุกแห่ง	thúk-hǒn-thúk-hɛ̀ɛng
ทุกหน	thúk-hǒn
ทุกแห่ง	thúk-hɛ̀ng
ทุคติ	thú-kha-tì
ทุคตะ	thú-khá-tà
ทุกฝ่าย	thúk-fàay
ทุกชนิด	thúk-cha-nít
ทุกข์ใจ	thúk-cay
ทุกรกิริยา	thú-ka-ra-kì-rí-yaa
ทุก	thúk
ทุกข์	thúk
ธุดงควัตร	thú-dong-kha-wát
ธุดงคสมาทาน	thú-dong-kha-sa-maa-thaan
ธุดงค์	thú-dong
ถ้วยตวง	thûay-tuang
ทวยเทพ	thuay-thêep
ทวยราษฎร์	thuay-râat
ถ้วยรางวัล	thûay-raang-wan
ถ้วยกาแฟ	thûay-kaa-fɛɛ
ทวยหาญ	thuay-hǎan
ถ้วยชาม	thûay-chaam
ถ้วย	thûay
ทวย	thuay
ทวดน้อย	thûat-nɔ́ɔy
ทั่วทุกทิศ	thûa-thúk-thít
ทั่วทุกสารทิศ	thûa-thúk-sǎan-thít
ทั่วทุกหัวระแหง	thûa-thúk-hǔa-rá-hɛ̌ɛng
ทั่วทุกแห่ง	thûa-thúk-hɛ̀ng
ทั่วๆ ไป	thûa-thûa-pay
ทั่วๆ	thûa-thûa
ทั่วถึงกัน	thûa-thʉ̌ng-kan
ทั่วถึง	thûa-thʉ̌ng
ทวด	thûat
ถั่วแระ	thùa-rɛ́
ทั่วไป	thûa-pay
ทวนทบ	thuan-thóp
ถ้วนถี่	thûan-thìi
ทวนสบถ	thuan-sa-bòt
ทวนสาบาน	thuan-sǎa-baan
ถ้วนหน้า	thûan-nâa
ทวนกระแส	thuan-krà-sɛ̌ɛ
ทวนกลับ	thuan-klàp
ทวนเข็มนาฬิกา	thuan-khěm-naa-lí-kaa
ทวนคำ	thuan-kham
ถ่วงเวลา	thùang-wee-laa
ท้วงติง	thûang-ting
ท่วงที	thûang-thii
ท่วงทำนอง	thûang-tham-nɔɔng
ทวงถาม	thuang-thǎam
ท่วงท่า	thûang-thâa
ทวงสิทธิ	thuang-sìt-thí
ทวงสิทธิ์	thuang-sìt
ถั่วงอก	thùa-ngɔ̂ɔk
ทวงหนี้	thuang-nîi
ถ่วงล้อ	thùang-lɔ́ɔ
ถ่วงความเจริญ	thùang-khwaam-ca-rəən
ถ่วงดุล	thùang-dun
ทวงบุญคุณ	thuang-bun-khun
ถ่วงอำนาจ	thùang-am-nâat
ท้วง	thûang
ถ่วง	thùang
ทวง	thuang
ทั่วหน้า	thûa-nâa
ถ้วน	thûan
ตือฮวน	tʉʉ-huan
ทวน	thuan
ท้วมๆ	thûam-thûam
ท่วมท้น	thûam-thón
ท่วมหัว	thûam-hǔa
ถั่วแม่ตาย	thùa-mɛ̂ɛ-taay
ท่วม	thûam
ท้วม	thûam
ทั่วโลก	thûa-lôok
ถั่วลิสง	thùa-lí-sǒng
ถั่วลันเตา	thùa-lan-taw
ถั่วเหลือง	thùa-lʉ̌ang
ถั่วเขียว	thùa-khǐaw
ทั่วกัน	thûa-kan
ถั่วฝักยาว	thùa-fàk-yaaw
ถัวเฉลี่ย	thǔa-cha-lìa
ถัว	thǔa
ทั่ว	thûa
ถั่ว	thùa
ทัวร์	thua
ทุ	thú
ถือตัว	thʉ̌ʉ-tua
ถือตน	thʉ̌ʉ-ton
ถือโทษ	thʉ̌ʉ-thôot
ถือท้าย	thʉ̌ʉ-tháay
ถือตาม	thʉ̌ʉ-taam
ถือสิทธิ์	thʉ̌ʉ-sìt
ถือศีลกินเจ	thʉ̌ʉ-sǐin-kin-cee
ถือศีล	thʉ̌ʉ-sǐin
ถือศาสนา	thʉ̌ʉ-sàat-sa-nǎa
ถือสา	thʉ̌ʉ-sǎa
ทรอมโบน	thrɔm--boon
ทฤษฎีบท	thrít-sa-dii-bòt
ทฤษฎี	thrít-sa-dii
ทรัสต์	thrát
ทรัมเป็ต	thram-pèt
ทรานซิสเตอร์	thraan-sít-sa-tə̂ə
ถือปูน	thʉ̌ʉ-puun
ทึบแสง	thʉ́p-sɛ̌ɛng
ถือพล	thʉ̌ʉ-phon
ถือผิว	thʉ̌ʉ-phǐw
ถือเป็นเยี่ยงอย่าง	thʉ̌ʉ-pen-yîang-yàang
ถือเป็นความลับ	thʉ̌ʉ-pen-khwaam-láp
ถือเป็นอารมณ์	thʉ̌ʉ-pen-aa-rom
ถือเป็น	thʉ̌ʉ-pen
ทึบ	thʉ́p
ถ้อยทีถ้อยอาศัยกัน	thɔ̂y-thii-thɔ̂y-aa-sǎy-kan
ถ้อยทีถ้อยอาศัย	thɔ̂y-thii-thɔ̂y-aa-sǎy
ถ้อยแถลง	thɔ̂y-tha-lɛ̌ɛng
ถ้อยความ	thɔ̂y-khwaam
ถ้อยคำสำนวน	thɔ̂y-kham-sǎm-nuan
ถ้อยคำ	thɔ̂y-kham
ถ้อย	thɔ̂y
ถ่อย	thɔ̀y
ถดถอย	thòt-thɔ̌ɔy
ทดท้อ	thót-thɔ́ɔ
ทดแทน	thót-thɛɛn
ทดสอบ	thót-sɔ̀ɔp
ทศวรรษ	thót-sa-wát
ทศทิศ	thót-sa-thít
ทศพร	thót-sa-phɔɔn
ทศพล	thót-sa-phon
ทศพิธราชธรรม	thót-sa-phít-râat-cha-tham
ทศนิยม	thót-sa-ní-yom
ทศมาส	thót-sa-mâat
ทศกัณฐ์	thót-sa-kan
ทศชาติ	thót-sa-châat
ทดรอง	thót-rɔɔng
ทดน้ำ	thót-náam
ทดลองปฏิบัติ	thót-lɔɔng-pa-tì-bàt
ทดลอง	thót-lɔɔng
ทดเลข	thót-lêek
ถด	thòt
ทด	thót
ทศ	thót
โถส้วม	thǒo-sûam
ทบต้น	thóp-tôn
ทบทวน	thóp-thuan
โถปริก	thǒo-prìk
ทอฟฟี่	thɔ́p-fîi
ท้อป	thɔ́p
ทบ	thóp
ถอยถด	thɔ̌ɔy-thòt
ถอยทัพ	thɔ̌ɔy-tháp
ถอยร่น	thɔ̌ɔy-rôn
ถอยหลังเข้าคลอง	thɔ̌ɔy-lǎng-khâw-khlɔɔng
ถอยหลัง	thɔ̌ɔy-lǎng
ถอยกรูด	thɔ̌ɔy-krùut
ทอยกอง	thɔɔy-kɔɔng
ถอยกลับ	thɔ̌ɔy-klàp
ถอยห่าง	thɔ̌ɔy-hàang
ถอยฉาก	thɔ̌ɔy-chàak
ถอยฉะ	thɔ̌ɔy-chà
ท่อยาง	thɔ̂ɔ-yaang
ถอย	thɔ̌ɔy
ทอย	thɔɔy
ทอดยอด	thɔ̂ɔt-yɔ̂ɔt
ทอดหญ้า	thɔ̂ɔt-yâa
ทอดตัว	thɔ̂ɔt-tua
ทอดธุระ	thɔ̂ɔt-thú-rá
ทอดถอนใจ	thɔ̂ɔt-thɔ̌ɔn-cay
ถอดถอน	thɔ̀ɔt-thɔ̌ɔn
ทอดทิ้ง	thɔ̂ɔt-thíng
ถอดทิ้ง	thɔ̀ɔt-thíng
ทอดที่	thɔ̂ɔt-thîi
ถอดเทป	thɔ̀ɔt-théep
โทษทัณฑ์	thôot-than
ถอดถ่าย	thɔ̀ɔt-thàay
ทอดตลาด	thɔ̂ɔt-ta-làat
ทอดตา	thɔ̂ɔt-taa
ถอดสี	thɔ̀ɔt-sǐi
ทอดเสียง	thɔ̂ɔt-sǐang
ทอดสะพาน	thɔ̂ɔt-sà-phaan
ทอดสมอ	thɔ̂ɔt-sa-mɔ̌ɔ
ทอดสายตา	thɔ̂ɔt-sǎay-taa
ถอดรูป	thɔ̀ɔt-rûup
ทอดรวง	thɔ̂ɔt-ruang
ถอดรหัส	thɔ̀ɔt-ra-hàt
โทษปรับ	thôot-pràp
โทษประหารชีวิต	thôot-prà-hǎan-chii-wít
โทษประหาร	thôot-prà-hǎan
ทอดพระเนตร	thɔ̂ɔt-phrá-nêet
โทษโพย	thôot-phooy
ถอดไพ่	thɔ̀ɔt-phây
ทอดผ้าป่า	thɔ̂ɔt-phâa-pàa
ทอดน่อง	thɔ̂ɔt-nɔ̂ng
ทอดเงา	thɔ̂ɔt-ngaw
โทษหนัก	thôot-nàk
ทอดมันปลากราย	thɔ̂ɔt-man-plaa-kraay
ทอดมัน	thɔ̂ɔt-man
ทอดโกลน	thɔ̂ɔt-kloon
ถอดความหมาย	thɔ̀ɔt-khwaam-mǎay
ถอดความ	thɔ̀ɔt-khwaam
ทอดกฐิน	thɔ̂ɔt-ka-thǐn
ทอดกาย	thɔ̂ɔt-kaay
ทอดหุ่ย	thɔ̂ɔt-hùy
ถอดหัวโขน	thɔ̀ɔt-hǔa-khǒon
ท่อถ้อย	thɔ̂ɔ-thɔ̂y
ท้อถอย	thɔ́ɔ-thɔ̌ɔy
ทอดแห	thɔ̂ɔt-hɛ̌ɛ
ท้อแท้	thɔ́ɔ-thɛ́ɛ
ถอดใจ	thɔ̀ɔt-cay
โทษจำ	thôot-cam
ถอดแบบ	thɔ̀ɔt-bɛ̀ɛp
โทษเบา	thôot-baw
ทอดอารมณ์	thɔ̂ɔt-aa-rom
ทอดอาลัย	thɔ̂ɔt-aa-lay
ทอด	thɔ̂ɔt
ถอด	thɔ̀ɔt
โทษ	thôot
ทอแสง	thɔɔ-sɛ̌ɛng
โทษานุโทษ	thoo-sǎa-nú-thôot
โทษาดิลก	thoo-sǎa-dì-lòk
โทสะ	thoo-sà
ทอเรียม	thɔɔ-rîam
ทรยุค	thɔɔ-ra-yúk
ทรยศ	thɔɔ-ra-yót
ท.ร.ท.	thoo-ra-thát-ruam-kaan-cha-phɔ́-kìt-hɛ̀ng-pra-thêet-thay
โทรทัศน์	thoo-ra-thát
โทรทรรศน์	thoo-ra-thát
ทรสองทรสุม	thɔɔ-ra-sɔ̌ɔng-thɔɔ-ra-sǔm
โทรศัพท์ทางไกล	thoo-ra-sàp-thaang-klay
โทรศัพท์สาธารณะ	thoo-rá-sàp-sǎa-thaa-rá-ná
โทรศัพท์ไร้สาย	thoo-ra-sàp-ráy-sǎay
โทรศัพท์ภายใน	thoo-ra-sàp-phaay-nay
โทรศัพท์มือถือ	thoo-ra-sàp-mʉʉ-thʉ̌ʉ
โทรศัพท์เคลื่อนที่	thoo-ra-sàp-khlʉ̂an-thîi
โทรศัพท์ใช้บัตร	thoo-ra-sàp-cháy-bàt
โทรศัพท์	thoo-ra-sàp
โทรสาร	thoo-ra-sǎan
ทรราช	thɔɔ-ra-râat
ทรพล	thɔɔ-ra-phon
ทรพิษ	thɔɔ-ra-phít
โทรพิมพ์	thoo-ra-phim
ทรพี	thɔɔ-ra-phii
โทรภาพ	thoo-ra-phâap
ทระนง	thɔɔ-rá-nong
ธรณีวิทยา	thɔɔ-ra-nii-wít-tha-yaa
ธรณีสงฆ์	thɔɔ-ra-nii-sǒng
ธรณีสาร	thɔɔ-ra-nii-sǎan
ธรณีร้องไห้	thɔɔ-ra-nii-rɔ́ɔng-hây
ธรณีประตู	thɔɔ-rá-nii-prà-tuu
ธรณีมณฑล	thɔɔ-ra-nii-mon-thon
ธรณีกันแสง	thɔɔ-ra-nii-kan-sɛ̌ɛng
ธรณี	thɔɔ-ra-nii
ทรอึง	thɔɔ-ra-ʉng
ทรมานทรกรรม	thɔɔ-ra-maan-thɔɔ-ra-kam
ทรมาน	thɔɔ-ra-maan
โทรเลข	thoo-ra-lêek
ทรลักษณ์	thɔɔ-ra-lák
โทรคมนาคม	thoo-ra-kha-ma-naa-khom
ทรกรรม	thɔɔ-ra-kam
ทรหวล	thɔɔ-ra-hǔan
ทรหดอดทน	thɔɔ-ra-hòt-òt-thon
ทรหด	thɔɔ-ra-hòt
ทรหน	thɔɔ-ra-hǒn
ทรหึงทรหวล	thɔɔ-ra-hʉ̌ng-thɔɔ-ra-hǔan
